"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/185 Knox Road Doonside 2767",3,2,2,537000,2023-04-13,-33.7488201790251,150.867223903009,1673.32942371012
2,"5/51 Coveny Street Doonside 2767",3,2,2,620000,2022-11-22,-33.7592416087907,150.868122526849,511.630555766985
3,"3/46 Earle Street Doonside 2767",3,2,1,670000,2022-10-12,-33.7613228353492,150.869237990523,274.282503091288
4,"2/7 Graham Street Doonside 2767",3,2,1,660000,2022-07-29,-33.7626002373931,150.872821086493,376.921469153297
5,"15/7 Graham Street Doonside 2767",2,2,1,520000,2022-07-29,-33.7624517519783,150.872809603285,382.009536419931
6,"5/65-67 Coveny Street Doonside 2767",4,2,1,715000,2022-02-24,-33.7590473581846,150.86667849257,568.961208705336
7,"19 Orissa Way Doonside 2767",3,1,2,672000,2021-12-10,-33.7687772390287,150.881609595791,1292.51959981211
8,"5/62 Hill End Road Doonside 2767",3,2,1,675000,2021-12-03,-33.7589842424537,150.869616014357,536.756542202504
9,"11/7 Graham Street Doonside 2767",2,2,1,550000,2021-11-05,-33.7622604350384,150.872675409016,379.582304767233
10,"10/7 Graham Street Doonside 2767",2,2,1,540000,2021-11-04,-33.7622661347325,150.87260407902,373.396810252956
11,"233D Doonside Crescent Doonside 2767",4,2,1,708000,2021-09-06,-33.7629809853448,150.872423784282,328.802065540322
12,"10/34 Power Street Doonside 2767",4,2,2,7e+05,2021-06-21,-33.7571254716055,150.872459826466,806.806906965716
13,"3/18 Doonside Road Doonside 2767",2,2,1,567000,2021-04-02,-33.765948262888,150.868843789617,241.930306258508
14,"4/13 Power street Doonside 2767",4,2,2,721000,2021-03-25,-33.7563017819805,150.874244249833,963.386311783725
15,"5/46 Earle Street Doonside 2767",4,2,1,678000,2021-02-07,-33.7613228353492,150.869237990523,274.282503091288
16,"3/219 Hill End Road Doonside 2767",2,1,1,490000,2021-02-02,-33.7478800647649,150.87295813061,1807.32042545176
17,"2/18 Doonside Road Doonside 2767",4,2,2,660000,2021-01-25,-33.765948262888,150.868843789617,241.930306258508
18,"Townhouse 1/18 Doonside Rd Doonside 2767",4,2,2,636500,2020-12-03,-33.765948262888,150.868843789617,241.930306258508
19,"1/7 Graham Street Doonside 2767",3,2,2,602000,2020-11-09,-33.762613061705,150.872913874161,384.498634533081
20,"9/34 Power Street Doonside 2767",4,2,2,670000,2020-09-30,-33.7571254716055,150.872459826466,806.806906965716
21,"9/52 Cameron Street Doonside 2767",4,2,2,680000,2020-09-11,-33.7587011436739,150.868228474105,569.791022344177
22,"12/7 Graham Street Doonside 2767",3,2,1,582000,2020-06-22,-33.7622204533602,150.872899541107,400.170709008499
23,"7/1 LYNWOOD AVENUE Doonside 2767",4,2,1,620000,2020-05-27,-33.7666143727333,150.885302410873,1541.05555717632
24,"1/131 Douglas Road Doonside 2767",4,2,1,650000,2020-04-27,-33.78018245277,150.877582845687,1991.15510030163
