"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/19 Stewart Street Campbelltown 2560",2,1,1,520000,2023-04-11,-34.0709210438984,150.820637452798,973.762218691531
2,"6/49 Sturt Street Campbelltown 2560",2,1,1,465000,2023-03-26,-34.0729540745136,150.821415293413,1199.11603933626
3,"1/6-11 Parkside Crescent Campbelltown 2560",3,2,2,785000,2023-03-24,-34.0780748306206,150.801851260849,1930.84164689093
4,"1/93 Broughton Street Campbelltown 2560",3,2,1,605000,2023-03-16,-34.0697451886114,150.821907059672,958.424170167988
5,"10/10-18 Allman Street Campbelltown 2560",2,1,1,462500,2022-10-28,-34.0706595704289,150.814458146139,738.788254363544
6,"2/93 Broughton Street Campbelltown 2560",2,2,1,590000,2022-10-10,-34.0697788000432,150.821938156533,963.053117673488
7,"7/49 Sturt Street Campbelltown 2560",2,1,1,460000,2022-09-15,-34.0729540745136,150.821415293413,1199.11603933626
8,"4/123 Lindesay Street Campbelltown 2560",3,1,1,607000,2022-08-17,-34.0665104864475,150.82202675325,778.384754315065
9,"2/23 Fairchild Road Campbelltown 2560",2,2,1,717500,2022-07-01,-34.0754144564622,150.791555182446,2437.64533601203
10,"122 Goldsmith Avenue Campbelltown 2560",3,2,1,785000,2022-05-14,-34.0732975229962,150.783417863205,3014.68093654734
11,"9/11 Warby . Street Campbelltown 2560",2,1,1,420000,2022-05-11,-34.0623542778484,150.819919039877,564.954692202061
12,"3/23 Fairchild Road Campbelltown 2560",2,1,1,585000,2022-03-21,-34.0754144564622,150.791555182446,2437.64533601203
13,"15/10 Allman St Campbelltown 2560",3,1,1,515000,2022-01-20,-34.0709284618827,150.814370136156,768.426667593503
14,"4/24-26 Allman Street Campbelltown 2560",2,1,1,550000,2021-12-15,-34.0714643588622,150.814764588519,829.807223336671
15,"4/16 Mereil Street Campbelltown 2560",4,1,1,702000,2021-12-14,-34.0653355531699,150.82901105789,1379.46861738157
16,"5/1-3 Meehan Place Campbelltown 2560",3,2,1,695000,2021-12-04,-34.0771386139454,150.814683032601,1460.30589470861
17,"3/42 Cordeaux Street Campbelltown 2560",3,2,2,550000,2021-11-25,-34.0689183138632,150.81838045773,670.478443856634
18,"4/167 Waminda Avenue Campbelltown 2560",2,1,2,515000,2021-11-22,-34.0751126241289,150.824419032235,1556.17855241714
19,"4/140-142 Lindesay Street Campbelltown 2560",3,2,1,680000,2021-10-08,-34.0687970696338,150.820484399246,790.292028103025
20,"1/30 Broughton Street Campbelltown 2560",2,1,1,445000,2021-07-30,-34.064584828012,150.818218770818,381.59569829949
21,"3/30-32 Allman Street Campbelltown 2560",2,2,1,530000,2021-07-05,-34.0723256832325,150.815646867648,934.113100406912
22,"5/123 Lindesay Street Campbelltown 2560",3,1,1,605000,2021-05-22,-34.0665104864475,150.82202675325,778.384754315065
23,"4/34 Allman Street Campbelltown 2560",2,2,2,495000,2021-05-17,-34.0725415591488,150.815833029717,960.529615273223
24,"4/30 Broughton Street Campbelltown 2560",2,1,1,395000,2021-04-06,-34.0644277092369,150.81849470307,404.430872315666
25,"3/2A Condamine Street Campbelltown 2560",2,1,1,450000,2021-03-23,-34.0700537264673,150.818311809943,773.43682851681
26,"7/77 Broughton Street Campbelltown 2560",2,1,1,430000,2021-02-01,-34.0687340377219,150.820979350629,820.175110581847
27,"4/11 Phillip Street Campbelltown 2560",2,1,1,4e+05,2020-12-16,-34.0709253605785,150.824974417139,1260.34104967591
28,"5/10-18 Allman Street Campbelltown 2560",2,1,1,435000,2020-11-25,-34.0703925649032,150.814192942723,708.486393019954
29,"4/24-26 Allman Street Campbelltown 2560",2,1,1,440000,2020-11-10,-34.0714643588622,150.814764588519,829.807223336671
30,"3/46-48 Chamberlain Street Campbelltown 2560",2,1,1,460000,2020-10-26,-34.0638349410444,150.823756610427,887.487224119413
31,"5/49 Sturt Street Campbelltown 2560",2,1,1,358000,2020-08-19,-34.0729540745136,150.821415293413,1199.11603933626
32,"39 Stowe Avenue Campbelltown 2560",3,2,1,642000,2020-08-18,-34.074921558646,150.791567587662,2408.58772416358
33,"8/1-3 Meehan Place Campbelltown 2560",3,2,1,490000,2020-08-07,-34.0770659428449,150.814899201884,1453.05036833678
34,"4/30-32 Moore Street Campbelltown 2560",3,1,1,465000,2020-07-24,-34.0658916924456,150.821466423022,707.128968642812
35,"4/1-3 Meehan Place Campbelltown 2560",3,2,1,5e+05,2020-07-01,-34.0770514002429,150.81464942117,1450.49862224209
36,"13 Parkside Crescent Campbelltown 2560",4,2,2,694000,2020-06-02,-34.0772826569515,150.802196427622,1840.94101752553
37,"3/42 Cordeaux Street Campbelltown 2560",2,1,1,455000,2020-05-10,-34.0689183138632,150.81838045773,670.478443856634
38,"4/77-79 Broughton Street Campbelltown 2560",2,1,1,397500,2020-03-24,-34.0687340377219,150.820979350629,820.175110581847
39,"3/10-18 Allman Street Campbelltown 2560",2,1,1,420000,2020-03-06,-34.0705893719898,150.814119098156,730.376797456019
40,"6/46 Chamberlain Street Campbelltown 2560",2,1,1,480000,2020-02-03,-34.0635645827575,150.823869179387,899.091647671089
41,"4/6-11 Parkside Crescent Campbelltown 2560",3,2,1,642000,2020-01-22,-34.0780748306206,150.801851260849,1930.84164689093
42,"2/1-3 Meehan Place Campbelltown 2560",3,2,1,512000,2020-01-15,-34.0769024538234,150.814657635435,1433.95215362522
43,"37a Joubert Lane Campbelltown 2560",2,1,2,475000,2020-01-09,-34.0781437298647,150.800127773918,2034.08323100192
44,"11/107 Broughton Street Campbelltown 2560",3,1,1,345000,2019-12-18,-34.0711461818177,150.823046579409,1141.50975016632
45,"4/46-48 Chamberlain Street Campbelltown 2560",2,1,1,460000,2019-12-05,-34.0637704422994,150.823859540198,897.177844838888
